start,end,rq_time,request_id
24048,3501,44.67,1
42050,8573,58.85,2
42050,10777,74.7,3
40814,31039,95.77,4
16916,4099,119.87,5
36284,22217,131.87,6
12314,157,148.42,7
12324,14279,169.34,8
21142,31039,180.08,9
17050,14279,220.01,10
11450,40855,241.11,11
1572,36845,258.79,12
7640,17175,296.43,13
32086,23979,350.21,14
36488,28609,362.11,15
36466,7933,389.47,16
6228,3629,401.74,17
42050,35943,420.85,18
34786,29077,434.47,19
14012,17175,461.0,20
32374,13479,475.44,21
29444,1903,506.11,22
972,22545,530.69,23
27518,15907,553.86,24
34582,2557,567.73,25
6258,427,581.75,26
13970,2861,609.59,27
23120,26295,630.73,28
39270,35797,646.49,29
8348,38069,676.74,30
40998,2829,708.44,31
15536,10275,727.26,32
19268,17175,750.1,33
17538,6133,776.79,34
8098,18565,800.47,35
25744,38121,822.37,36
13970,2861,851.89,37
42050,26765,869.85,38
7856,31039,885.23,39
26474,42063,900.74,40
32358,17175,919.48,41
17304,2861,937.02,42
15094,31039,965.97,43
22546,12325,989.89,44
35850,42039,1013.57,45
42050,2815,1029.3,46
24810,14865,1046.4,47
2898,20513,1088.58,48
10458,39117,1102.14,49
24990,34829,1123.63,50
12830,32765,1145.2,51
5284,16729,1155.68,52
42050,2065,1185.39,53
42050,38203,1209.45,54
28238,40271,1226.94,55
1572,36845,1247.4,56
41094,31265,1270.89,57
12324,14279,1289.67,58
24160,23087,1310.63,59
32152,17805,1330.58,60
90,31039,1346.14,61
10336,20511,1370.11,62
36264,18613,1375.61,63
11372,17273,1394.93,64
23512,38695,1430.07,65
32152,41677,1452.92,66
12322,31039,1468.77,67
39054,42063,1496.94,68
22916,40545,1515.04,69
10980,36433,1524.01,70
23634,1307,1548.43,71
42050,26517,1563.62,72
41162,42063,1593.25,73
4,12315,1618.51,74
2860,29157,1638.12,75
1260,31039,1659.44,76
41554,31039,1683.16,77
41926,2861,1725.18,78
36820,31039,1753.26,79
50,19303,1775.08,80
23086,18343,1785.95,81
33168,14279,1805.68,82
11428,14279,1826.06,83
24144,3409,1866.71,84
4880,26499,1880.2,85
5710,42063,1907.59,86
42050,5789,1934.62,87
14292,42063,1955.23,88
42050,41039,1970.96,89
42064,4607,1986.15,90
35070,27065,2005.04,91
178,19695,2016.75,92
32064,18351,2040.55,93
36190,36173,2068.34,94
40044,22547,2081.91,95
724,2657,2101.46,96
38694,2861,2117.0,97
10996,23983,2132.79,98
35850,20333,2146.9,99
2400,16609,2159.8,100
9156,33213,2210.81,101
8150,7587,2220.54,102
40504,31039,2249.04,103
10274,29515,2282.68,104
38020,12509,2302.42,105
36132,17175,2322.49,106
4916,14023,2340.51,107
8168,23711,2364.17,108
26562,7083,2391.67,109
10440,12467,2411.4,110
30096,23087,2431.46,111
30618,17975,2446.71,112
19906,35255,2468.62,113
17244,2401,2482.11,114
15842,17175,2502.14,115
21154,8707,2524.43,116
18574,31039,2539.02,117
42050,5535,2563.4,118
19330,6383,2584.49,119
42058,27277,2609.89,120
29870,17175,2627.68,121
17924,31039,2642.94,122
23116,2055,2662.51,123
16058,17175,2684.66,124
1890,7287,2699.56,125
19906,37749,2719.66,126
19330,6383,2738.45,127
16426,29671,2755.97,128
39270,6663,2782.64,129
13346,19065,2824.22,130
8174,38121,2841.05,131
23086,1045,2853.72,132
5616,42063,2879.81,133
40814,39993,2893.09,134
27368,22213,2917.86,135
33632,42063,2955.27,136
31532,511,2974.91,137
17924,31039,2996.14,138
29214,22841,3014.38,139
36460,42063,3058.12,140
42050,12555,3078.83,141
20452,39089,3103.95,142
17244,2401,3113.98,143
19906,21819,3144.94,144
35414,31039,3158.93,145
17244,2401,3179.23,146
24680,17175,3195.75,147
40566,17971,3226.42,148
12570,11957,3242.36,149
35072,40891,3272.39,150
37008,24027,3297.78,151
18574,31039,3325.78,152
27374,9323,3345.65,153
28200,2861,3362.62,154
27254,31039,3380.01,155
4494,3125,3402.02,156
18682,20427,3422.48,157
4500,26439,3446.33,158
27222,36925,3468.54,159
17062,14279,3486.35,160
11944,11435,3508.82,161
9782,6421,3524.77,162
11610,17267,3544.08,163
24188,2861,3563.43,164
35850,17525,3588.66,165
2398,29119,3622.96,166
38010,42063,3640.96,167
24810,2767,3662.52,168
41624,17175,3684.16,169
24182,39933,3711.25,170
13894,29443,3731.37,171
19906,19415,3757.95,172
39330,26765,3788.87,173
3686,2861,3823.37,174
25882,11435,3842.33,175
34954,18411,3861.57,176
12960,31039,3888.65,177
758,14873,3919.33,178
16284,17175,3963.26,179
12940,35263,3989.05,180
42050,41517,4002.9,181
16158,10159,4023.55,182
6754,37335,4064.28,183
23134,17175,4085.12,184
4346,22775,4126.68,185
26906,14279,4155.52,186
26258,22547,4186.08,187
42050,14231,4208.98,188
7448,17969,4224.14,189
36584,38123,4248.51,190
16146,16485,4282.85,191
3408,41549,4317.7,192
10892,28213,4369.33,193
19876,31039,4398.36,194
33424,28707,4425.63,195
23404,30347,4454.19,196
13880,19083,4495.62,197
36454,40327,4523.03,198
28228,18411,4571.5,199
32602,10073,4591.61,200
24846,14883,4618.28,201
39270,35837,4655.91,202
36754,31039,4676.43,203
22046,31039,4712.21,204
12404,8577,4723.0,205
27490,23087,4745.29,206
5138,14279,4769.49,207
11252,6833,4794.51,208
35850,41255,4825.97,209
3636,22649,4877.65,210
26918,241,4904.95,211
1262,3409,4922.32,212
35850,20333,4957.6,213
14942,3409,4972.43,214
40636,11435,4987.68,215
23086,3259,5000.55,216
24346,2861,5028.27,217
3408,8315,5053.1,218
4784,34135,5073.84,219
38422,31039,5097.69,220
29554,12537,5124.45,221
17754,3159,5152.19,222
8546,7827,5191.31,223
7314,2401,5209.67,224
23190,23087,5243.1,225
42132,39307,5275.08,226
35628,2861,5303.65,227
8502,20509,5346.78,228
12080,2861,5379.85,229
42050,19843,5408.34,230
40246,18253,5442.22,231
26098,15787,5476.38,232
22546,559,5512.41,233
3858,265,5537.04,234
42050,41649,5565.99,235
22924,2309,5591.84,236
25036,39773,5614.8,237
14814,2861,5652.82,238
32116,31039,5677.66,239
35442,32577,5720.46,240
28604,23493,5757.0,241
40514,17331,5790.84,242
9656,31039,5818.52,243
32616,2401,5854.55,244
7924,10181,5880.07,245
6734,21881,5915.17,246
24810,2767,5947.06,247
21304,42063,5956.52,248
7292,23665,5982.5,249
16768,42063,6009.25,250
8424,23123,6036.81,251
26978,4501,6049.07,252
3682,15345,6073.41,253
19906,8323,6112.28,254
23088,18019,6137.49,255
3830,13339,6160.37,256
16544,9383,6193.08,257
2860,28607,6230.72,258
15434,22547,6244.12,259
24238,14279,6275.71,260
34418,40371,6305.27,261
23086,32721,6332.81,262
956,2861,6354.85,263
8748,42127,6382.25,264
42050,36105,6403.69,265
2860,36189,6430.44,266
23086,26887,6465.11,267
35850,20333,6485.64,268
26544,26803,6521.26,269
32602,15853,6540.35,270
10788,42063,6559.26,271
39270,5543,6585.38,272
17246,11577,6596.38,273
23578,30627,6633.0,274
42050,7089,6665.68,275
26366,14999,6695.4,276
20510,25801,6714.48,277
27342,13633,6764.35,278
29500,21211,6776.86,279
23118,20519,6808.78,280
12552,42057,6847.7,281
36240,41041,6877.21,282
42050,18027,6912.69,283
19906,95,6940.87,284
23088,18013,6982.27,285
5582,31039,7010.25,286
9588,35963,7032.07,287
27360,31039,7068.62,288
18832,27775,7116.69,289
24346,2861,7156.8,290
37274,37487,7184.13,291
6132,28713,7235.31,292
9858,31039,7280.97,293
19064,31039,7320.99,294
35850,29137,7360.96,295
38870,34825,7404.85,296
39814,40251,7438.64,297
19906,4091,7475.01,298
40056,23087,7512.71,299
36412,3775,7545.44,300
41958,23087,7564.55,301
35066,31039,7589.34,302
17600,31039,7615.86,303
21160,17175,7651.59,304
2398,1011,7690.92,305
26282,10889,7734.66,306
17654,2861,7770.8,307
20632,2861,7806.97,308
21334,27279,7839.26,309
9240,31039,7871.69,310
32602,37517,7907.15,311
42050,32103,7933.96,312
24778,17175,7967.02,313
33912,30551,8011.99,314
36116,33205,8048.71,315
39300,2825,8086.27,316
33350,11435,8111.55,317
1702,42063,8144.86,318
24890,17175,8175.83,319
18248,41033,8200.32,320
10060,20609,8242.98,321
25296,42063,8275.13,322
11762,17175,8297.57,323
19906,36005,8341.25,324
41766,3409,8364.56,325
2860,8425,8400.23,326
24880,731,8420.68,327
4216,32759,8451.21,328
16762,5517,8472.13,329
35066,31039,8495.69,330
31946,31845,8544.67,331
12702,3409,8570.5,332
22546,545,8592.37,333
32152,19731,8625.28,334
14630,27029,8647.23,335
37148,29465,8666.48,336
17268,30503,8710.34,337
2860,1419,8750.54,338
20590,23087,8774.58,339
39270,41041,8807.32,340
13134,26813,8849.1,341
6168,3385,8864.5,342
17704,26359,8897.54,343
36288,42063,8941.9,344
19906,8055,8972.12,345
35630,2401,9009.24,346
27772,9533,9058.92,347
6122,6221,9081.26,348
11372,39799,9100.24,349
30740,3409,9138.59,350
25344,17731,9167.42,351
33902,10137,9196.55,352
24184,539,9219.79,353
22546,91,9234.55,354
15166,36545,9262.78,355
21958,26291,9294.43,356
41766,3409,9315.68,357
28816,19325,9347.97,358
22934,23087,9373.85,359
31456,23969,9413.13,360
28900,25267,9450.07,361
5620,9691,9485.96,362
38696,3257,9510.74,363
24136,2861,9534.14,364
2468,42063,9575.33,365
14252,17271,9600.72,366
38698,41505,9637.58,367
32152,8377,9669.28,368
42050,25347,9698.35,369
6132,28713,9739.02,370
13962,22547,9774.36,371
39270,31863,9813.07,372
42050,17551,9852.89,373
28522,36121,9876.92,374
19906,15601,9926.91,375
33026,31039,9965.11,376
15876,13421,10019.16,377
4494,22545,10054.83,378
30092,22161,10078.84,379
16634,13399,10113.05,380
25762,42063,10150.13,381
38826,8957,10163.14,382
8224,27955,10195.54,383
32602,41331,10223.15,384
5904,25335,10245.12,385
12316,31039,10279.11,386
14730,40567,10303.27,387
926,31901,10342.82,388
2400,28641,10377.54,389
26638,41433,10405.81,390
19906,8141,10434.4,391
15468,23087,10462.0,392
3408,41387,10505.89,393
6428,22449,10539.01,394
17050,23231,10570.13,395
42050,9075,10625.5,396
42050,18519,10652.28,397
3334,14279,10695.52,398
41070,38563,10718.73,399
23086,32359,10751.57,400
38812,7923,10798.69,401
25732,14279,10849.9,402
39292,6883,10885.35,403
26370,26413,10941.35,404
26618,28053,10976.42,405
27240,16301,11021.21,406
42050,10177,11053.98,407
16178,3409,11080.28,408
24878,31039,11110.02,409
32152,7891,11125.51,410
36448,11715,11158.18,411
17638,11283,11207.63,412
23934,3661,11269.27,413
37022,14565,11308.32,414
26704,3499,11345.2,415
42050,4397,11386.87,416
35374,42063,11400.43,417
14938,8377,11454.35,418
9820,1585,11501.79,419
10040,27779,11551.79,420
38438,721,11584.41,421
15684,11435,11640.0,422
19906,28277,11685.05,423
244,31039,11726.93,424
2860,10471,11763.61,425
28312,2413,11810.16,426
13482,5879,11850.88,427
19060,42063,11891.59,428
21040,19065,11913.73,429
15072,34763,11940.85,430
19154,23665,11993.82,431
19906,29031,12018.12,432
12110,32733,12058.61,433
2860,3331,12081.84,434
39126,30007,12106.74,435
20342,5803,12157.15,436
4196,23087,12192.51,437
35038,28609,12251.56,438
27510,33915,12273.06,439
32152,24385,12295.59,440
39910,2401,12312.9,441
28316,18937,12390.6,442
3640,32745,12430.38,443
18256,32549,12482.59,444
14472,42063,12541.96,445
14592,6269,12574.74,446
23888,19375,12611.28,447
17142,13019,12632.25,448
29290,38921,12691.15,449
22388,38069,12727.95,450
38348,27039,12761.28,451
24878,31039,12805.35,452
29478,42063,12848.24,453
39696,1153,12876.51,454
26214,2861,12908.03,455
14556,31039,12995.33,456
572,17175,13052.45,457
13430,7337,13081.36,458
568,17175,13124.61,459
42050,4649,13168.62,460
19396,37515,13215.94,461
7340,28171,13289.92,462
12766,31039,13344.49,463
24422,42063,13382.14,464
21850,42063,13419.47,465
38708,4589,13451.3,466
2400,31447,13496.27,467
14872,38633,13523.93,468
33874,3031,13569.99,469
8690,42063,13648.72,470
39270,11713,13686.57,471
6528,26071,13722.5,472
4350,15265,13747.93,473
11902,28721,13773.2,474
37956,35305,13805.91,475
6470,35985,13842.14,476
1332,3453,13889.96,477
28588,17175,13917.97,478
22546,28607,13942.29,479
42050,4397,13973.89,480
2860,3857,14021.09,481
23926,6635,14060.72,482
15464,23087,14076.71,483
14408,29471,14133.81,484
37958,14279,14157.91,485
19906,1887,14178.41,486
2860,12105,14221.01,487
16468,26869,14261.1,488
42050,22625,14288.2,489
38392,40881,14318.21,490
42050,2135,14356.85,491
39514,37529,14405.11,492
39954,22839,14420.35,493
2968,17175,14440.32,494
32116,31039,14463.74,495
21056,9791,14476.19,496
27142,31039,14509.43,497
7896,14831,14536.02,498
18724,1931,14568.11,499
21060,10847,14597.83,500
3374,1749,14629.77,501
10984,9157,14661.66,502
636,24667,14679.53,503
1300,17175,14708.92,504
6930,39947,14730.98,505
34824,2793,14760.11,506
15090,6625,14765.67,507
42050,14337,14793.95,508
1676,31739,14810.18,509
17972,38367,14846.18,510
17796,1319,14877.3,511
9698,21961,14920.76,512
2860,10623,14938.69,513
39700,31039,14954.31,514
12828,31389,14985.46,515
18682,31155,15006.27,516
32912,33561,15020.83,517
40542,31039,15028.37,518
30350,23407,15047.44,519
15462,25381,15061.46,520
838,26705,15072.51,521
35850,35527,15093.27,522
19906,14645,15118.07,523
19906,20885,15131.35,524
40078,16611,15165.44,525
32602,37359,15177.33,526
18668,13101,15191.76,527
27142,31039,15253.48,529
35998,16439,15277.82,530
29348,9787,15298.85,531
3556,24793,15319.54,532
20600,29785,15354.65,533
8864,39389,15367.67,534
17410,22547,15376.57,535
32152,15937,15383.09,536
19078,39465,15403.35,537
22546,29163,15431.57,538
18610,14279,15453.41,539
10472,12753,15465.69,540
39270,10649,15481.9,541
6792,40011,15513.37,542
19906,23685,15526.6,543
35850,40063,15541.47,544
42050,1301,15566.31,545
15936,663,15591.27,546
14812,31039,15610.17,547
650,31051,15637.76,548
31946,24029,15646.91,549
19906,35375,15683.6,550
32114,17175,15711.13,551
23086,3569,15743.9,552
19462,2861,15781.59,553
37524,31263,15814.65,554
18682,29261,15834.76,555
17458,37751,15849.91,556
12406,31039,15864.71,557
18682,7765,15889.12,558
41594,18787,15919.22,559
8014,13477,15944.29,560
32152,22117,15959.07,561
38818,31039,15982.17,562
30376,39991,16005.06,563
1560,91,16037.86,564
7746,20465,16053.98,565
22558,11409,16084.33,566
15220,9343,16102.1,567
41244,31039,16120.41,568
22406,28725,16138.63,569
2448,32805,16162.42,570
5600,37045,16206.13,571
40382,38281,16231.95,572
24276,17735,16249.15,573
636,24667,16300.48,574
41088,19065,16315.77,575
23086,18017,16337.71,576
30260,15827,16362.03,577
1590,38649,16381.06,578
29466,31039,16407.51,579
22376,15401,16438.27,580
39378,17175,16484.17,581
24084,23087,16514.52,582
20576,2861,16530.01,583
374,31039,16556.45,584
2860,34785,16572.3,585
19906,40769,16591.53,586
18818,42063,16607.82,587
19906,27145,16616.85,588
39952,19065,16639.8,589
40168,42063,16659.47,590
27604,15681,16686.09,591
28572,16729,16711.66,592
10496,2401,16751.78,593
23086,38277,16771.8,594
5572,17349,16808.04,595
26508,9635,16841.02,596
20094,8115,16853.53,597
396,31039,16882.43,598
37298,3245,16903.47,599
25774,31039,16930.02,600
7102,29135,16956.52,601
5262,26307,16980.61,602
23634,3559,17006.89,603
12938,39009,17039.54,604
3576,7431,17073.83,605
37620,17175,17103.34,606
35850,39593,17120.45,607
24188,22975,17132.35,608
30564,42063,17150.39,609
38686,2791,17160.16,610
1394,21961,17202.79,611
35850,39507,17222.1,612
18682,34957,17253.01,613
32602,39835,17276.44,614
8356,10779,17316.74,615
10676,31355,17330.64,616
15936,663,17354.43,617
19928,10651,17393.17,618
11682,22547,17407.93,619
31108,7385,17446.86,620
4500,27709,17475.36,621
22558,11409,17504.18,622
5670,25815,17518.44,623
14558,15855,17535.21,624
20094,8115,17554.87,625
41380,8107,17580.13,626
31610,4893,17596.15,627
23086,28613,17624.88,628
2108,34827,17655.93,629
37724,28721,17694.63,630
28314,31039,17719.53,631
27844,5985,17734.28,632
22780,23665,17740.83,633
19906,14651,17757.65,634
28300,36545,17786.29,635
12392,31039,17811.37,636
6294,28365,17837.67,637
2860,3547,17850.66,638
5572,17349,17879.07,639
34736,21099,17899.35,640
3982,12763,17917.86,641
3658,23087,17949.46,642
23086,38523,17984.19,643
31714,28797,18000.6,644
42050,19141,18006.61,645
33212,10539,18010.23,646
14540,31039,18017.97,647
12700,19975,18022.16,648
41066,28199,18026.9,649
552,11435,18034.17,650
24812,10255,18036.59,651
38640,17175,18039.98,652
33032,36443,18043.53,653
514,22547,18045.23,654
19906,28581,18051.31,655
20534,5975,18057.26,656
19180,31039,18064.99,657
2400,21007,18067.06,658
35850,16081,18071.5,659
33044,26457,18074.97,660
7924,2861,18078.12,661
21940,39757,18085.03,662
29218,2863,18091.05,663
24768,30073,18095.57,664
4382,24699,18101.24,665
12322,33629,18106.61,666
17452,31039,18108.98,667
34882,27243,18112.46,668
35246,24475,18115.55,669
4892,31039,18120.41,670
5948,40631,18123.92,671
38716,19063,18131.67,672
28270,31039,18136.32,673
1540,3155,18141.44,674
39270,24471,18146.13,675
3338,31359,18150.34,676
39518,22819,18154.61,677
140,31039,18159.35,678
33660,35111,18161.27,679
24036,14735,18165.9,680
10636,39485,18170.05,681
22546,1077,18174.26,682
13036,2863,18178.61,683
8200,37211,18183.8,684
41724,2401,18188.05,685
8554,17175,18195.77,686
23620,31009,18200.91,687
10060,42101,18203.9,688
36012,2861,18207.02,689
4880,12081,18213.83,690
18566,24723,18216.42,691
32152,38431,18220.48,692
18682,40619,18223.09,693
6470,17601,18226.52,694
17820,21603,18231.09,695
19906,26941,18237.2,696
31334,42063,18243.25,697
23086,14701,18246.88,698
39270,2053,18251.47,699
650,22547,18256.18,700
22730,21963,18258.56,701
30356,5661,18261.05,702
27308,42111,18263.37,703
30356,5661,18265.91,704
8198,2401,18268.39,705
26466,20817,18274.63,706
21144,17175,18276.95,707
32602,2305,18278.49,708
5804,35849,18282.95,709
32602,16081,18290.12,710
22444,35343,18296.47,711
19906,24727,18303.38,712
2780,30347,18306.21,713
20298,2401,18310.07,714
24500,23681,18314.93,715
35850,16081,18319.33,716
19064,42063,18323.75,717
22546,17895,18326.42,718
38554,29893,18332.47,719
